Trimestre;Sentido transacción;Zona geográfica;Evolución trimestral del volumen de negocio (€)
2020T2;Desde el exterior con España;Estados Unidos;49875792,92
2020T2;Desde el exterior con España;Reino Unido;81854178,43
2020T2;Desde el exterior con España;Resto;38082189,49
2020T2;Desde el exterior con España;Unión Europea;590678445,57
2020T2;Desde España con el exterior;América Latina;6534966,92
2020T2;Desde España con el exterior;Asia Pacífico;54340673,42
2020T2;Desde España con el exterior;C.E.M.E.A.;50194522,73
2020T2;Desde España con el exterior;Estados Unidos;102091695,25
2020T2;Desde España con el exterior;Reino Unido;2615830448,64
2020T2;Desde España con el exterior;Resto;12462189,45
2020T2;Desde España con el exterior;Unión Europea;4301554445,86
2020T3;Dentro de España;Dentro de España;4244150160,79
2020T3;Desde el exterior con España;América Latina;68367235,96
2020T3;Desde el exterior con España;Asia Pacífico;139250504,57
2020T3;Desde el exterior con España;C.E.M.E.A.;187275298,66
2020T3;Desde el exterior con España;Estados Unidos;68042025,28
2020T3;Desde el exterior con España;Reino Unido;150089606,89
2020T3;Desde el exterior con España;Resto;51941949,77
2020T3;Desde el exterior con España;Unión Europea;905377015,19
2020T3;Desde España con el exterior;América Latina;6247887,6
2020T3;Desde España con el exterior;Asia Pacífico;48364267,79
2020T3;Desde España con el exterior;C.E.M.E.A.;58679983,76
2020T3;Desde España con el exterior;Estados Unidos;91562407,69
2020T3;Desde España con el exterior;Reino Unido;2369740664,46
2020T3;Desde España con el exterior;Resto;13824376,34
2020T3;Desde España con el exterior;Unión Europea;4397589299,06
2020T4;Dentro de España;Dentro de España;4485710484,96
2020T4;Desde el exterior con España;América Latina;77589489,92
2020T4;Desde el exterior con España;Asia Pacífico;88926051,3
2020T4;Desde el exterior con España;C.E.M.E.A.;115220074
2020T4;Desde el exterior con España;Estados Unidos;69517753,21
2020T4;Desde el exterior con España;Reino Unido;117492454,64
2020T4;Desde el exterior con España;Resto;27966573,38
2020T4;Desde el exterior con España;Unión Europea;721578294,78
2020T4;Desde España con el exterior;América Latina;8374992,21
2020T4;Desde España con el exterior;Asia Pacífico;78016416,32
2020T4;Desde España con el exterior;C.E.M.E.A.;64600709,92
2020T4;Desde España con el exterior;Estados Unidos;102444495,76
2020T4;Desde España con el exterior;Reino Unido;2863739948,85
2020T4;Desde España con el exterior;Resto;16980944,59
2020T4;Desde España con el exterior;Unión Europea;5774868407,2
2021T1;Dentro de España;Dentro de España;3687348559,09
2021T1;Desde el exterior con España;América Latina;74655617,73
2021T1;Desde el exterior con España;Asia Pacífico;47940929,63
2021T1;Desde el exterior con España;C.E.M.E.A.;85290888,78
2021T1;Desde el exterior con España;Estados Unidos;72148153,97
2021T1;Desde el exterior con España;Reino Unido;82007162,91
2021T1;Desde el exterior con España;Resto;11523189,58
2021T1;Desde el exterior con España;Unión Europea;573378271,08
2021T1;Desde España con el exterior;América Latina;11391574,53
2021T1;Desde España con el exterior;Asia Pacífico;72568492,88
2021T1;Desde España con el exterior;C.E.M.E.A.;293520286,03
2021T1;Desde España con el exterior;Estados Unidos;101704234,37
2021T1;Desde España con el exterior;Reino Unido;584311931,11
2021T1;Desde España con el exterior;Resto;14078132,17
2021T1;Desde España con el exterior;Unión Europea;6761681200,04
2021T2;Dentro de España;Dentro de España;4371675826,61
2021T2;Desde el exterior con España;América Latina;85312407,38
2021T2;Desde el exterior con España;Asia Pacífico;49455891,2
2021T2;Desde el exterior con España;C.E.M.E.A.;106934856,97
2021T2;Desde el exterior con España;Estados Unidos;104669209,86
2021T2;Desde el exterior con España;Reino Unido;103388116,39
2021T2;Desde el exterior con España;Resto;12970917,62
2021T2;Desde el exterior con España;Unión Europea;816864499,89
2021T2;Desde España con el exterior;América Latina;13525664,14
2021T2;Desde España con el exterior;Asia Pacífico;72647113,81
2021T2;Desde España con el exterior;C.E.M.E.A.;260664485,03
2021T2;Desde España con el exterior;Estados Unidos;100475236,39
2021T2;Desde España con el exterior;Reino Unido;575124923,67
2021T2;Desde España con el exterior;Resto;15207960,61
2021T2;Desde España con el exterior;Unión Europea;6972321003,84
2021T3;Dentro de España;Dentro de España;4906415382,96
2021T3;Desde el exterior con España;América Latina;122406396,08
2021T3;Desde el exterior con España;Asia Pacífico;48087272,06
2021T3;Desde el exterior con España;C.E.M.E.A.;135519738,05
2021T3;Desde el exterior con España;Estados Unidos;118889653,54
2021T3;Desde el exterior con España;Reino Unido;183637885,05
2021T3;Desde el exterior con España;Resto;19057425,79
2021T3;Desde el exterior con España;Unión Europea;1022210040,38
2021T3;Desde España con el exterior;América Latina;18847084,77
2021T3;Desde España con el exterior;Asia Pacífico;57831444,55
2021T3;Desde España con el exterior;C.E.M.E.A.;236053982,97
2021T3;Desde España con el exterior;Estados Unidos;102858830,51
2021T3;Desde España con el exterior;Reino Unido;477941409,04
2021T3;Desde España con el exterior;Resto;19957331,76
2021T3;Desde España con el exterior;Unión Europea;7226240079,88
2021T4;Dentro de España;Dentro de España;5204131501,54
